Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card	confidency
10	Waveform 1	1	39.262500000	39.270800000	39218.000	52191.000	Pipistrellus nathusii	0.653	0.703	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
10	Spectrogram 1	1	39.262500000	39.270800000	39218.000	52191.000	Pipistrellus nathusii	0.653	0.703	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
11	Waveform 1	1	39.335500000	39.343900000	40078.000	56808.000	Pipistrellus nathusii	0.614	0.69	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
11	Spectrogram 1	1	39.335500000	39.343900000	40078.000	56808.000	Pipistrellus nathusii	0.614	0.69	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
12	Waveform 1	1	39.442500000	39.451800000	38359.000	51166.000	Pipistrellus nathusii	0.612	0.691	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
12	Spectrogram 1	1	39.442500000	39.451800000	38359.000	51166.000	Pipistrellus nathusii	0.612	0.691	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
13	Waveform 1	1	39.557500000	39.565000000	40078.000	53645.000	Pipistrellus nathusii	0.671	0.719	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
13	Spectrogram 1	1	39.557500000	39.565000000	40078.000	53645.000	Pipistrellus nathusii	0.671	0.719	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
14	Waveform 1	1	39.835500000	39.844100000	39218.000	52235.000	Pipistrellus nathusii	0.618	0.643	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
14	Spectrogram 1	1	39.835500000	39.844100000	39218.000	52235.000	Pipistrellus nathusii	0.618	0.643	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
15	Waveform 1	1	40.101500000	40.111100000	40078.000	49986.000	Pipistrellus nathusii	0.486	0.542	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
15	Spectrogram 1	1	40.101500000	40.111100000	40078.000	49986.000	Pipistrellus nathusii	0.486	0.542	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
16	Waveform 1	1	41.530500000	41.541000000	37500.000	49316.000	Pipistrellus nathusii	0.514	0.585	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
16	Spectrogram 1	1	41.530500000	41.541000000	37500.000	49316.000	Pipistrellus nathusii	0.514	0.585	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
17	Waveform 1	1	43.876500000	43.892800000	24609.000	27341.000	Nyctalus leisleri	0.505	0.62	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
17	Spectrogram 1	1	43.876500000	43.892800000	24609.000	27341.000	Nyctalus leisleri	0.505	0.62	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
18	Waveform 1	1	44.684500000	44.700300000	24609.000	28029.000	Nyctalus leisleri	0.532	0.638	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
18	Spectrogram 1	1	44.684500000	44.700300000	24609.000	28029.000	Nyctalus leisleri	0.532	0.638	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
19	Waveform 1	1	45.069500000	45.078700000	36640.000	42305.000	Pipistrellus nathusii	0.482	0.617	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
19	Spectrogram 1	1	45.069500000	45.078700000	36640.000	42305.000	Pipistrellus nathusii	0.482	0.617	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
20	Waveform 1	1	45.389500000	45.399700000	35781.000	41498.000	Pipistrellus nathusii	0.479	0.517	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
20	Spectrogram 1	1	45.389500000	45.399700000	35781.000	41498.000	Pipistrellus nathusii	0.479	0.517	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
21	Waveform 1	1	45.825500000	45.835400000	35781.000	43953.000	Pipistrellus nathusii	0.449	0.552	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
21	Spectrogram 1	1	45.825500000	45.835400000	35781.000	43953.000	Pipistrellus nathusii	0.449	0.552	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
22	Waveform 1	1	47.091500000	47.110700000	23750.000	30821.000	Eptesicus serotinus	0.23	0.502	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
22	Spectrogram 1	1	47.091500000	47.110700000	23750.000	30821.000	Eptesicus serotinus	0.23	0.502	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
23	Waveform 1	1	47.241500000	47.250600000	34921.000	40595.000	Pipistrellus nathusii	0.312	0.655	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
23	Spectrogram 1	1	47.241500000	47.250600000	34921.000	40595.000	Pipistrellus nathusii	0.312	0.655	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
24	Waveform 1	1	47.296500000	47.314600000	24609.000	30329.000	Nyctalus leisleri	0.264	0.507	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
24	Spectrogram 1	1	47.296500000	47.314600000	24609.000	30329.000	Nyctalus leisleri	0.264	0.507	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
25	Waveform 1	1	47.546500000	47.560300000	25468.000	32909.000	Nyctalus leisleri	0.269	0.562	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
25	Spectrogram 1	1	47.546500000	47.560300000	25468.000	32909.000	Nyctalus leisleri	0.269	0.562	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
26	Waveform 1	1	47.658500000	47.669000000	35781.000	41268.000	Pipistrellus nathusii	0.269	0.567	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
26	Spectrogram 1	1	47.658500000	47.669000000	35781.000	41268.000	Pipistrellus nathusii	0.269	0.567	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
27	Waveform 1	1	47.714500000	47.729600000	25468.000	30509.000	Nyctalus leisleri	0.387	0.519	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
27	Spectrogram 1	1	47.714500000	47.729600000	25468.000	30509.000	Nyctalus leisleri	0.387	0.519	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
28	Waveform 1	1	47.993500000	48.004500000	34921.000	41516.000	Nyctalus leisleri	0.188	0.518	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
28	Spectrogram 1	1	47.993500000	48.004500000	34921.000	41516.000	Nyctalus leisleri	0.188	0.518	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
29	Waveform 1	1	183.770500000	183.780400000	35781.000	41620.000	Pipistrellus nathusii	0.31	0.508	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
29	Spectrogram 1	1	183.770500000	183.780400000	35781.000	41620.000	Pipistrellus nathusii	0.31	0.508	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
30	Waveform 1	1	184.460500000	184.470100000	39218.000	45551.000	Pipistrellus nathusii	0.48	0.506	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
30	Spectrogram 1	1	184.460500000	184.470100000	39218.000	45551.000	Pipistrellus nathusii	0.48	0.506	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
31	Waveform 1	1	184.843500000	184.854400000	36640.000	47465.000	Pipistrellus nathusii	0.426	0.507	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
31	Spectrogram 1	1	184.843500000	184.854400000	36640.000	47465.000	Pipistrellus nathusii	0.426	0.507	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
32	Waveform 1	1	185.142500000	185.151300000	36640.000	47495.000	Pipistrellus nathusii	0.5	0.576	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
32	Spectrogram 1	1	185.142500000	185.151300000	36640.000	47495.000	Pipistrellus nathusii	0.5	0.576	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
33	Waveform 1	1	185.433500000	185.446200000	35781.000	47975.000	Pipistrellus nathusii	0.474	0.513	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
33	Spectrogram 1	1	185.433500000	185.446200000	35781.000	47975.000	Pipistrellus nathusii	0.474	0.513	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
34	Waveform 1	1	252.222500000	252.234700000	35781.000	52949.000	Pipistrellus nathusii	0.478	0.568	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
34	Spectrogram 1	1	252.222500000	252.234700000	35781.000	52949.000	Pipistrellus nathusii	0.478	0.568	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
35	Waveform 1	1	252.330500000	252.342200000	34921.000	44164.000	Pipistrellus nathusii	0.48	0.528	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
35	Spectrogram 1	1	252.330500000	252.342200000	34921.000	44164.000	Pipistrellus nathusii	0.48	0.528	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
36	Waveform 1	1	252.834500000	252.847500000	34921.000	52541.000	Pipistrellus nathusii	0.374	0.532	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
36	Spectrogram 1	1	252.834500000	252.847500000	34921.000	52541.000	Pipistrellus nathusii	0.374	0.532	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
37	Waveform 1	1	253.135500000	253.147900000	34921.000	51958.000	Pipistrellus nathusii	0.374	0.588	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
37	Spectrogram 1	1	253.135500000	253.147900000	34921.000	51958.000	Pipistrellus nathusii	0.374	0.588	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
38	Waveform 1	1	253.434500000	253.448700000	34921.000	51291.000	Pipistrellus nathusii	0.266	0.506	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
38	Spectrogram 1	1	253.434500000	253.448700000	34921.000	51291.000	Pipistrellus nathusii	0.266	0.506	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
39	Waveform 1	1	254.140500000	254.153000000	35781.000	51026.000	Pipistrellus nathusii	0.461	0.577	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
39	Spectrogram 1	1	254.140500000	254.153000000	35781.000	51026.000	Pipistrellus nathusii	0.461	0.577	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
40	Waveform 1	1	254.234500000	254.245700000	35781.000	49059.000	Pipistrellus nathusii	0.499	0.56	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
40	Spectrogram 1	1	254.234500000	254.245700000	35781.000	49059.000	Pipistrellus nathusii	0.499	0.56	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
41	Waveform 1	1	254.435500000	254.446100000	36640.000	52762.000	Pipistrellus nathusii	0.446	0.53	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
41	Spectrogram 1	1	254.435500000	254.446100000	36640.000	52762.000	Pipistrellus nathusii	0.446	0.53	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
42	Waveform 1	1	255.026500000	255.039700000	34921.000	50546.000	Pipistrellus nathusii	0.348	0.51	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
42	Spectrogram 1	1	255.026500000	255.039700000	34921.000	50546.000	Pipistrellus nathusii	0.348	0.51	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
43	Waveform 1	1	255.597500000	255.608200000	36640.000	42328.000	Pipistrellus nathusii	0.485	0.514	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
43	Spectrogram 1	1	255.597500000	255.608200000	36640.000	42328.000	Pipistrellus nathusii	0.485	0.514	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
44	Waveform 1	1	258.110500000	258.121000000	38359.000	43992.000	Pipistrellus nathusii	0.477	0.505	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
44	Spectrogram 1	1	258.110500000	258.121000000	38359.000	43992.000	Pipistrellus nathusii	0.477	0.505	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
45	Waveform 1	1	258.213500000	258.222800000	37500.000	43856.000	Pipistrellus nathusii	0.527	0.577	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
45	Spectrogram 1	1	258.213500000	258.222800000	37500.000	43856.000	Pipistrellus nathusii	0.527	0.577	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
46	Waveform 1	1	258.403500000	258.412600000	38359.000	44498.000	Pipistrellus nathusii	0.585	0.615	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
46	Spectrogram 1	1	258.403500000	258.412600000	38359.000	44498.000	Pipistrellus nathusii	0.585	0.615	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
47	Waveform 1	1	259.357500000	259.365000000	40937.000	48936.000	Pipistrellus nathusii	0.574	0.616	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
47	Spectrogram 1	1	259.357500000	259.365000000	40937.000	48936.000	Pipistrellus nathusii	0.574	0.616	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
48	Waveform 1	1	259.441500000	259.449700000	39218.000	46151.000	Pipistrellus nathusii	0.489	0.508	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
48	Spectrogram 1	1	259.441500000	259.449700000	39218.000	46151.000	Pipistrellus nathusii	0.489	0.508	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
49	Waveform 1	1	259.546500000	259.554700000	39218.000	48982.000	Pipistrellus nathusii	0.533	0.586	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
49	Spectrogram 1	1	259.546500000	259.554700000	39218.000	48982.000	Pipistrellus nathusii	0.533	0.586	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
50	Waveform 1	1	259.644500000	259.652600000	38359.000	49133.000	Pipistrellus nathusii	0.537	0.624	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
50	Spectrogram 1	1	259.644500000	259.652600000	38359.000	49133.000	Pipistrellus nathusii	0.537	0.624	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
51	Waveform 1	1	259.743500000	259.754700000	36640.000	50604.000	Pipistrellus nathusii	0.304	0.515	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
51	Spectrogram 1	1	259.743500000	259.754700000	36640.000	50604.000	Pipistrellus nathusii	0.304	0.515	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
52	Waveform 1	1	259.837500000	259.847900000	36640.000	53476.000	Pipistrellus nathusii	0.462	0.603	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
52	Spectrogram 1	1	259.837500000	259.847900000	36640.000	53476.000	Pipistrellus nathusii	0.462	0.603	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
53	Waveform 1	1	259.937500000	259.946400000	38359.000	47476.000	Pipistrellus nathusii	0.428	0.565	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
53	Spectrogram 1	1	259.937500000	259.946400000	38359.000	47476.000	Pipistrellus nathusii	0.428	0.565	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
54	Waveform 1	1	260.028500000	260.037400000	39218.000	49737.000	Pipistrellus nathusii	0.533	0.645	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
54	Spectrogram 1	1	260.028500000	260.037400000	39218.000	49737.000	Pipistrellus nathusii	0.533	0.645	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
55	Waveform 1	1	260.127500000	260.135100000	38359.000	48984.000	Pipistrellus nathusii	0.482	0.553	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
55	Spectrogram 1	1	260.127500000	260.135100000	38359.000	48984.000	Pipistrellus nathusii	0.482	0.553	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
56	Waveform 1	1	260.226500000	260.234600000	39218.000	52792.000	Pipistrellus nathusii	0.594	0.679	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
56	Spectrogram 1	1	260.226500000	260.234600000	39218.000	52792.000	Pipistrellus nathusii	0.594	0.679	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
57	Waveform 1	1	260.334500000	260.342200000	39218.000	50522.000	Pipistrellus nathusii	0.597	0.644	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
