Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	detection_confidence	Annotation	input_file
28	Waveform 1	1	175.606500000	175.623000000	24609.000	28545.000	0.556	Echolocation	20220826_070000.WAV
28	Spectrogram 1	1	175.606500000	175.623000000	24609.000	28545.000	0.556	Echolocation	20220826_070000.WAV
29	Waveform 1	1	175.896500000	175.913100000	25468.000	31346.000	0.509	Echolocation	20220826_070000.WAV
29	Spectrogram 1	1	175.896500000	175.913100000	25468.000	31346.000	0.509	Echolocation	20220826_070000.WAV
30	Waveform 1	1	176.729500000	176.746200000	23750.000	30180.000	0.561	Echolocation	20220826_070000.WAV
30	Spectrogram 1	1	176.729500000	176.746200000	23750.000	30180.000	0.561	Echolocation	20220826_070000.WAV
31	Waveform 1	1	177.140500000	177.155800000	23750.000	29075.000	0.568	Echolocation	20220826_070000.WAV
31	Spectrogram 1	1	177.140500000	177.155800000	23750.000	29075.000	0.568	Echolocation	20220826_070000.WAV
32	Waveform 1	1	177.426500000	177.441900000	23750.000	29441.000	0.608	Echolocation	20220826_070000.WAV
32	Spectrogram 1	1	177.426500000	177.441900000	23750.000	29441.000	0.608	Echolocation	20220826_070000.WAV
33	Waveform 1	1	177.855500000	177.872700000	23750.000	28051.000	0.512	Echolocation	20220826_070000.WAV
33	Spectrogram 1	1	177.855500000	177.872700000	23750.000	28051.000	0.512	Echolocation	20220826_070000.WAV
34	Waveform 1	1	178.265500000	178.280300000	23750.000	28906.000	0.61	Echolocation	20220826_070000.WAV
34	Spectrogram 1	1	178.265500000	178.280300000	23750.000	28906.000	0.61	Echolocation	20220826_070000.WAV
35	Waveform 1	1	178.706500000	178.722300000	23750.000	28145.000	0.614	Echolocation	20220826_070000.WAV
35	Spectrogram 1	1	178.706500000	178.722300000	23750.000	28145.000	0.614	Echolocation	20220826_070000.WAV
36	Waveform 1	1	179.107500000	179.123600000	24609.000	27176.000	0.558	Echolocation	20220826_070000.WAV
36	Spectrogram 1	1	179.107500000	179.123600000	24609.000	27176.000	0.558	Echolocation	20220826_070000.WAV
37	Waveform 1	1	179.944500000	179.960300000	23750.000	28178.000	0.645	Echolocation	20220826_070000.WAV
37	Spectrogram 1	1	179.944500000	179.960300000	23750.000	28178.000	0.645	Echolocation	20220826_070000.WAV
38	Waveform 1	1	180.789500000	180.807600000	23750.000	28090.000	0.543	Echolocation	20220826_070000.WAV
38	Spectrogram 1	1	180.789500000	180.807600000	23750.000	28090.000	0.543	Echolocation	20220826_070000.WAV
39	Waveform 1	1	216.528500000	216.537700000	40078.000	46094.000	0.593	Echolocation	20220826_070000.WAV
39	Spectrogram 1	1	216.528500000	216.537700000	40078.000	46094.000	0.593	Echolocation	20220826_070000.WAV
40	Waveform 1	1	286.104500000	286.112700000	39218.000	49254.000	0.579	Echolocation	20220826_070000.WAV
40	Spectrogram 1	1	286.104500000	286.112700000	39218.000	49254.000	0.579	Echolocation	20220826_070000.WAV
41	Waveform 1	1	286.617500000	286.626700000	39218.000	46874.000	0.536	fp	20220826_070000.WAV
41	Spectrogram 1	1	286.617500000	286.626700000	39218.000	46874.000	0.536	fp	20220826_070000.WAV
42	Waveform 1	1	286.813500000	286.821100000	38359.000	45889.000	0.508	Echolocation	20220826_070000.WAV
42	Spectrogram 1	1	286.813500000	286.821100000	38359.000	45889.000	0.508	Echolocation	20220826_070000.WAV
43	Waveform 1	1	287.022500000	287.030600000	39218.000	49059.000	0.516	fp	20220826_070000.WAV
43	Spectrogram 1	1	287.022500000	287.030600000	39218.000	49059.000	0.516	fp	20220826_070000.WAV
44	Waveform 1	1	287.541500000	287.549000000	40078.000	46762.000	0.541	fp	20220826_070000.WAV
44	Spectrogram 1	1	287.541500000	287.549000000	40078.000	46762.000	0.541	fp	20220826_070000.WAV
45	Waveform 1	1	287.642500000	287.649300000	38359.000	46264.000	0.547	Echolocation	20220826_070000.WAV
45	Spectrogram 1	1	287.642500000	287.649300000	38359.000	46264.000	0.547	Echolocation	20220826_070000.WAV
46	Waveform 1	1	289.701500000	289.708900000	40078.000	56642.000	0.621	Echolocation	20220826_070000.WAV
46	Spectrogram 1	1	289.701500000	289.708900000	40078.000	56642.000	0.621	Echolocation	20220826_070000.WAV
47	Waveform 1	1	290.679500000	290.685000000	34062.000	50386.000	0.511	Echolocation	20220826_070000.WAV
47	Spectrogram 1	1	290.679500000	290.685000000	34062.000	50386.000	0.511	Echolocation	20220826_070000.WAV
48	Waveform 1	1	292.091500000	292.097800000	40078.000	53942.000	0.587	Echolocation	20220826_070000.WAV
48	Spectrogram 1	1	292.091500000	292.097800000	40078.000	53942.000	0.587	Echolocation	20220826_070000.WAV
49	Waveform 1	1	292.179500000	292.184800000	40937.000	53250.000	0.561	fp	20220826_070000.WAV
49	Spectrogram 1	1	292.179500000	292.184800000	40937.000	53250.000	0.561	fp	20220826_070000.WAV
50	Waveform 1	1	292.362500000	292.367400000	38359.000	56233.000	0.543	Echolocation	20220826_070000.WAV
50	Spectrogram 1	1	292.362500000	292.367400000	38359.000	56233.000	0.543	Echolocation	20220826_070000.WAV
51	Waveform 1	1	293.334500000	293.339600000	41796.000	50298.000	0.546	Echolocation	20220826_070000.WAV
51	Spectrogram 1	1	293.334500000	293.339600000	41796.000	50298.000	0.546	Echolocation	20220826_070000.WAV
52	Waveform 1	1	308.231500000	308.240700000	38359.000	50212.000	0.575	fp	20220826_070000.WAV
52	Spectrogram 1	1	308.231500000	308.240700000	38359.000	50212.000	0.575	fp	20220826_070000.WAV
53	Waveform 1	1	308.536500000	308.544600000	36640.000	44286.000	0.536	Echolocation	20220826_070000.WAV
53	Spectrogram 1	1	308.536500000	308.544600000	36640.000	44286.000	0.536	Echolocation	20220826_070000.WAV
54	Waveform 1	1	308.851500000	308.859700000	37500.000	47144.000	0.599	Echolocation	20220826_070000.WAV
54	Spectrogram 1	1	308.851500000	308.859700000	37500.000	47144.000	0.599	Echolocation	20220826_070000.WAV
55	Waveform 1	1	309.079500000	309.087700000	38359.000	44773.000	0.524	fp	20220826_070000.WAV
55	Spectrogram 1	1	309.079500000	309.087700000	38359.000	44773.000	0.524	fp	20220826_070000.WAV
56	Waveform 1	1	388.227500000	388.233500000	47812.000	62629.000	0.511	fp	20220826_070000.WAV
56	Spectrogram 1	1	388.227500000	388.233500000	47812.000	62629.000	0.511	fp	20220826_070000.WAV
57	Waveform 1	1	388.540500000	388.547500000	46953.000	59578.000	0.51	Echolocation	20220826_070000.WAV
57	Spectrogram 1	1	388.540500000	388.547500000	46953.000	59578.000	0.51	Echolocation	20220826_070000.WAV
58	Waveform 1	1	389.032500000	389.039100000	47812.000	54442.000	0.532	Echolocation	20220826_070000.WAV
58	Spectrogram 1	1	389.032500000	389.039100000	47812.000	54442.000	0.532	Echolocation	20220826_070000.WAV
59	Waveform 1	1	389.126500000	389.132600000	45234.000	60470.000	0.647	Echolocation	20220826_070000.WAV
59	Spectrogram 1	1	389.126500000	389.132600000	45234.000	60470.000	0.647	Echolocation	20220826_070000.WAV
60	Waveform 1	1	389.230500000	389.236900000	44375.000	59432.000	0.533	Echolocation	20220826_070000.WAV
60	Spectrogram 1	1	389.230500000	389.236900000	44375.000	59432.000	0.533	Echolocation	20220826_070000.WAV
61	Waveform 1	1	389.330500000	389.338600000	46953.000	59415.000	0.605	Echolocation	20220826_070000.WAV
61	Spectrogram 1	1	389.330500000	389.338600000	46953.000	59415.000	0.605	Echolocation	20220826_070000.WAV
62	Waveform 1	1	389.392500000	389.401900000	38359.000	46374.000	0.536	Echolocation	20220826_070000.WAV
62	Spectrogram 1	1	389.392500000	389.401900000	38359.000	46374.000	0.536	Echolocation	20220826_070000.WAV
63	Waveform 1	1	389.440500000	389.449900000	45234.000	61175.000	0.504	Echolocation	20220826_070000.WAV
63	Spectrogram 1	1	389.440500000	389.449900000	45234.000	61175.000	0.504	Echolocation	20220826_070000.WAV
64	Waveform 1	1	389.501500000	389.510300000	38359.000	44699.000	0.538	Echolocation	20220826_070000.WAV
64	Spectrogram 1	1	389.501500000	389.510300000	38359.000	44699.000	0.538	Echolocation	20220826_070000.WAV
65	Waveform 1	1	389.555500000	389.561900000	45234.000	60599.000	0.597	Echolocation	20220826_070000.WAV
65	Spectrogram 1	1	389.555500000	389.561900000	45234.000	60599.000	0.597	Echolocation	20220826_070000.WAV
66	Waveform 1	1	389.661500000	389.669800000	46953.000	65736.000	0.668	Echolocation	20220826_070000.WAV
66	Spectrogram 1	1	389.661500000	389.669800000	46953.000	65736.000	0.668	Echolocation	20220826_070000.WAV
67	Waveform 1	1	389.712500000	389.721300000	38359.000	46062.000	0.503	fp	20220826_070000.WAV
67	Spectrogram 1	1	389.712500000	389.721300000	38359.000	46062.000	0.503	fp	20220826_070000.WAV
68	Waveform 1	1	389.765500000	389.772900000	45234.000	69411.000	0.686	Echolocation	20220826_070000.WAV
68	Spectrogram 1	1	389.765500000	389.772900000	45234.000	69411.000	0.686	Echolocation	20220826_070000.WAV
69	Waveform 1	1	389.872500000	389.882600000	46093.000	66902.000	0.628	Echolocation	20220826_070000.WAV
69	Spectrogram 1	1	389.872500000	389.882600000	46093.000	66902.000	0.628	Echolocation	20220826_070000.WAV
70	Waveform 1	1	389.938500000	389.944800000	48671.000	68303.000	0.628	Echolocation	20220826_070000.WAV
70	Spectrogram 1	1	389.938500000	389.944800000	48671.000	68303.000	0.628	Echolocation	20220826_070000.WAV
71	Waveform 1	1	390.050500000	390.056100000	45234.000	65383.000	0.513	Echolocation	20220826_070000.WAV
71	Spectrogram 1	1	390.050500000	390.056100000	45234.000	65383.000	0.513	Echolocation	20220826_070000.WAV
72	Waveform 1	1	390.153500000	390.158800000	46953.000	65876.000	0.571	Echolocation	20220826_070000.WAV
72	Spectrogram 1	1	390.153500000	390.158800000	46953.000	65876.000	0.571	Echolocation	20220826_070000.WAV
73	Waveform 1	1	390.251500000	390.257000000	45234.000	69746.000	0.557	Echolocation	20220826_070000.WAV
73	Spectrogram 1	1	390.251500000	390.257000000	45234.000	69746.000	0.557	Echolocation	20220826_070000.WAV
74	Waveform 1	1	390.351500000	390.356800000	46093.000	71107.000	0.629	Echolocation	20220826_070000.WAV
74	Spectrogram 1	1	390.351500000	390.356800000	46093.000	71107.000	0.629	Echolocation	20220826_070000.WAV
75	Waveform 1	1	390.447500000	390.453300000	46093.000	72338.000	0.698	Echolocation	20220826_070000.WAV
75	Spectrogram 1	1	390.447500000	390.453300000	46093.000	72338.000	0.698	Echolocation	20220826_070000.WAV
76	Waveform 1	1	390.539500000	390.550000000	47812.000	66497.000	0.654	Echolocation	20220826_070000.WAV
76	Spectrogram 1	1	390.539500000	390.550000000	47812.000	66497.000	0.654	Echolocation	20220826_070000.WAV
77	Waveform 1	1	390.644500000	390.651800000	45234.000	67684.000	0.583	Echolocation	20220826_070000.WAV
77	Spectrogram 1	1	390.644500000	390.651800000	45234.000	67684.000	0.583	Echolocation	20220826_070000.WAV
78	Waveform 1	1	390.741500000	390.751000000	48671.000	64751.000	0.57	Echolocation	20220826_070000.WAV
78	Spectrogram 1	1	390.741500000	390.751000000	48671.000	64751.000	0.57	Echolocation	20220826_070000.WAV
79	Waveform 1	1	390.930500000	390.939500000	48671.000	68221.000	0.599	Echolocation	20220826_070000.WAV
79	Spectrogram 1	1	390.930500000	390.939500000	48671.000	68221.000	0.599	Echolocation	20220826_070000.WAV
80	Waveform 1	1	391.018500000	391.026500000	46953.000	67192.000	0.599	Echolocation	20220826_070000.WAV
80	Spectrogram 1	1	391.018500000	391.026500000	46953.000	67192.000	0.599	Echolocation	20220826_070000.WAV
81	Waveform 1	1	391.100500000	391.105700000	47812.000	69574.000	0.544	Echolocation	20220826_070000.WAV
81	Spectrogram 1	1	391.100500000	391.105700000	47812.000	69574.000	0.544	Echolocation	20220826_070000.WAV
82	Waveform 1	1	541.242500000	541.259500000	23750.000	28248.000	0.58	Echolocation	20220826_070000.WAV
82	Spectrogram 1	1	541.242500000	541.259500000	23750.000	28248.000	0.58	Echolocation	20220826_070000.WAV
83	Waveform 1	1	630.335500000	630.348300000	24609.000	28677.000	0.509	Echolocation	20220826_070000.WAV
83	Spectrogram 1	1	630.335500000	630.348300000	24609.000	28677.000	0.509	Echolocation	20220826_070000.WAV
84	Waveform 1	1	631.085500000	631.099900000	23750.000	28755.000	0.532	Echolocation	20220826_070000.WAV
84	Spectrogram 1	1	631.085500000	631.099900000	23750.000	28755.000	0.532	Echolocation	20220826_070000.WAV
85	Waveform 1	1	663.415500000	663.424100000	38359.000	46762.000	0.618	Echolocation	20220826_070000.WAV
85	Spectrogram 1	1	663.415500000	663.424100000	38359.000	46762.000	0.618	Echolocation	20220826_070000.WAV
86	Waveform 1	1	663.723500000	663.733100000	38359.000	45220.000	0.581	Echolocation	20220826_070000.WAV
86	Spectrogram 1	1	663.723500000	663.733100000	38359.000	45220.000	0.581	Echolocation	20220826_070000.WAV
87	Waveform 1	1	977.517500000	977.531000000	26328.000	30812.000	0.539	Echolocation	20220826_070000.WAV
87	Spectrogram 1	1	977.517500000	977.531000000	26328.000	30812.000	0.539	Echolocation	20220826_070000.WAV
88	Waveform 1	1	978.011500000	978.023700000	26328.000	32843.000	0.546	Echolocation	20220826_070000.WAV
88	Spectrogram 1	1	978.011500000	978.023700000	26328.000	32843.000	0.546	Echolocation	20220826_070000.WAV
89	Waveform 1	1	978.260500000	978.273000000	26328.000	31274.000	0.692	Echolocation	20220826_070000.WAV
89	Spectrogram 1	1	978.260500000	978.273000000	26328.000	31274.000	0.692	Echolocation	20220826_070000.WAV
90	Waveform 1	1	978.515500000	978.527700000	26328.000	32338.000	0.605	Echolocation	20220826_070000.WAV
90	Spectrogram 1	1	978.515500000	978.527700000	26328.000	32338.000	0.605	Echolocation	20220826_070000.WAV
91	Waveform 1	1	978.776500000	978.787700000	26328.000	32643.000	0.706	Echolocation	20220826_070000.WAV
91	Spectrogram 1	1	978.776500000	978.787700000	26328.000	32643.000	0.706	Echolocation	20220826_070000.WAV
92	Waveform 1	1	979.023500000	979.036600000	25468.000	32047.000	0.531	Echolocation	20220826_070000.WAV
92	Spectrogram 1	1	979.023500000	979.036600000	25468.000	32047.000	0.531	Echolocation	20220826_070000.WAV
93	Waveform 1	1	979.549500000	979.562700000	25468.000	30026.000	0.578	Echolocation	20220826_070000.WAV
93	Spectrogram 1	1	979.549500000	979.562700000	25468.000	30026.000	0.578	Echolocation	20220826_070000.WAV
94	Waveform 1	1	979.928500000	979.945000000	25468.000	27692.000	0.59	Echolocation	20220826_070000.WAV
94	Spectrogram 1	1	979.928500000	979.945000000	25468.000	27692.000	0.59	Echolocation	20220826_070000.WAV
95	Waveform 1	1	980.584500000	980.601400000	24609.000	27719.000	0.676	Echolocation	20220826_070000.WAV
95	Spectrogram 1	1	980.584500000	980.601400000	24609.000	27719.000	0.676	Echolocation	20220826_070000.WAV
96	Waveform 1	1	980.858500000	980.871900000	25468.000	31380.000	0.503	Echolocation	20220826_070000.WAV
96	Spectrogram 1	1	980.858500000	980.871900000	25468.000	31380.000	0.503	Echolocation	20220826_070000.WAV
97	Waveform 1	1	981.203500000	981.217100000	25468.000	30714.000	0.646	Echolocation	20220826_070000.WAV
97	Spectrogram 1	1	981.203500000	981.217100000	25468.000	30714.000	0.646	Echolocation	20220826_070000.WAV
98	Waveform 1	1	981.560500000	981.573400000	25468.000	30329.000	0.642	Echolocation	20220826_070000.WAV
98	Spectrogram 1	1	981.560500000	981.573400000	25468.000	30329.000	0.642	Echolocation	20220826_070000.WAV
99	Waveform 1	1	982.776500000	982.791100000	26328.000	30765.000	0.603	Echolocation	20220826_070000.WAV
99	Spectrogram 1	1	982.776500000	982.791100000	26328.000	30765.000	0.603	Echolocation	20220826_070000.WAV
100	Waveform 1	1	983.230500000	983.244100000	26328.000	32119.000	0.532	Echolocation	20220826_070000.WAV
100	Spectrogram 1	1	983.230500000	983.244100000	26328.000	32119.000	0.532	Echolocation	20220826_070000.WAV
101	Waveform 1	1	983.484500000	983.498300000	25468.000	31596.000	0.607	Echolocation	20220826_070000.WAV
101	Spectrogram 1	1	983.484500000	983.498300000	25468.000	31596.000	0.607	Echolocation	20220826_070000.WAV
102	Waveform 1	1	983.758500000	983.773200000	25468.000	30719.000	0.526	Echolocation	20220826_070000.WAV
102	Spectrogram 1	1	983.758500000	983.773200000	25468.000	30719.000	0.526	Echolocation	20220826_070000.WAV
103	Waveform 1	1	984.032500000	984.048500000	25468.000	29470.000	0.532	Echolocation	20220826_070000.WAV
103	Spectrogram 1	1	984.032500000	984.048500000	25468.000	29470.000	0.532	Echolocation	20220826_070000.WAV
104	Waveform 1	1	984.420500000	984.432500000	25468.000	30711.000	0.681	Echolocation	20220826_070000.WAV
104	Spectrogram 1	1	984.420500000	984.432500000	25468.000	30711.000	0.681	Echolocation	20220826_070000.WAV
105	Waveform 1	1	984.965500000	984.979500000	25468.000	29432.000	0.679	Echolocation	20220826_070000.WAV
105	Spectrogram 1	1	984.965500000	984.979500000	25468.000	29432.000	0.679	Echolocation	20220826_070000.WAV
106	Waveform 1	1	986.237500000	986.251400000	24609.000	29717.000	0.569	Echolocation	20220826_070000.WAV
106	Spectrogram 1	1	986.237500000	986.251400000	24609.000	29717.000	0.569	Echolocation	20220826_070000.WAV
107	Waveform 1	1	986.503500000	986.516100000	25468.000	31024.000	0.58	Echolocation	20220826_070000.WAV
107	Spectrogram 1	1	986.503500000	986.516100000	25468.000	31024.000	0.58	Echolocation	20220826_070000.WAV
108	Waveform 1	1	986.748500000	986.761100000	25468.000	30952.000	0.62	Echolocation	20220826_070000.WAV
108	Spectrogram 1	1	986.748500000	986.761100000	25468.000	30952.000	0.62	Echolocation	20220826_070000.WAV
109	Waveform 1	1	1212.128500000	1212.131600000	46953.000	65825.000	0.513	fp	20220826_070000.WAV
109	Spectrogram 1	1	1212.128500000	1212.131600000	46953.000	65825.000	0.513	fp	20220826_070000.WAV
110	Waveform 1	1	1212.189500000	1212.192500000	45234.000	67925.000	0.542	Echolocation	20220826_070000.WAV
110	Spectrogram 1	1	1212.189500000	1212.192500000	45234.000	67925.000	0.542	Echolocation	20220826_070000.WAV
111	Waveform 1	1	1212.351500000	1212.354400000	45234.000	66135.000	0.543	Echolocation	20220826_070000.WAV
111	Spectrogram 1	1	1212.351500000	1212.354400000	45234.000	66135.000	0.543	Echolocation	20220826_070000.WAV
112	Waveform 1	1	1212.407500000	1212.411200000	40078.000	79262.000	0.602	Echolocation	20220826_070000.WAV
112	Spectrogram 1	1	1212.407500000	1212.411200000	40078.000	79262.000	0.602	Echolocation	20220826_070000.WAV
113	Waveform 1	1	1212.553500000	1212.556600000	43515.000	72877.000	0.63	Echolocation	20220826_070000.WAV
113	Spectrogram 1	1	1212.553500000	1212.556600000	43515.000	72877.000	0.63	Echolocation	20220826_070000.WAV
114	Waveform 1	1	1212.642500000	1212.645700000	43515.000	65741.000	0.514	Echolocation	20220826_070000.WAV
114	Spectrogram 1	1	1212.642500000	1212.645700000	43515.000	65741.000	0.514	Echolocation	20220826_070000.WAV
115	Waveform 1	1	1212.807500000	1212.810900000	44375.000	79162.000	0.645	Echolocation	20220826_070000.WAV
115	Spectrogram 1	1	1212.807500000	1212.810900000	44375.000	79162.000	0.645	Echolocation	20220826_070000.WAV
116	Waveform 1	1	1213.036500000	1213.040000000	47812.000	72296.000	0.554	Echolocation	20220826_070000.WAV
116	Spectrogram 1	1	1213.036500000	1213.040000000	47812.000	72296.000	0.554	Echolocation	20220826_070000.WAV
117	Waveform 1	1	1213.096500000	1213.100500000	46953.000	78186.000	0.588	Echolocation	20220826_070000.WAV
117	Spectrogram 1	1	1213.096500000	1213.100500000	46953.000	78186.000	0.588	Echolocation	20220826_070000.WAV
118	Waveform 1	1	1213.144500000	1213.147200000	46093.000	78202.000	0.599	Echolocation	20220826_070000.WAV
118	Spectrogram 1	1	1213.144500000	1213.147200000	46093.000	78202.000	0.599	Echolocation	20220826_070000.WAV
119	Waveform 1	1	1214.528500000	1214.532700000	51250.000	77582.000	0.585	Echolocation	20220826_070000.WAV
119	Spectrogram 1	1	1214.528500000	1214.532700000	51250.000	77582.000	0.585	Echolocation	20220826_070000.WAV
120	Waveform 1	1	1214.617500000	1214.622600000	50390.000	72724.000	0.619	Echolocation	20220826_070000.WAV
120	Spectrogram 1	1	1214.617500000	1214.622600000	50390.000	72724.000	0.619	Echolocation	20220826_070000.WAV
121	Waveform 1	1	1215.035500000	1215.040200000	45234.000	84902.000	0.521	Echolocation	20220826_070000.WAV
121	Spectrogram 1	1	1215.035500000	1215.040200000	45234.000	84902.000	0.521	Echolocation	20220826_070000.WAV
122	Waveform 1	1	1215.114500000	1215.117800000	48671.000	78076.000	0.582	Echolocation	20220826_070000.WAV
122	Spectrogram 1	1	1215.114500000	1215.117800000	48671.000	78076.000	0.582	Echolocation	20220826_070000.WAV
123	Waveform 1	1	1216.055500000	1216.059600000	49531.000	60570.000	0.525	Echolocation	20220826_070000.WAV
123	Spectrogram 1	1	1216.055500000	1216.059600000	49531.000	60570.000	0.525	Echolocation	20220826_070000.WAV
124	Waveform 1	1	1238.797500000	1238.812000000	25468.000	31089.000	0.589	Echolocation	20220826_070000.WAV
124	Spectrogram 1	1	1238.797500000	1238.812000000	25468.000	31089.000	0.589	Echolocation	20220826_070000.WAV
125	Waveform 1	1	1239.078500000	1239.093400000	24609.000	28749.000	0.545	Echolocation	20220826_070000.WAV
125	Spectrogram 1	1	1239.078500000	1239.093400000	24609.000	28749.000	0.545	Echolocation	20220826_070000.WAV
126	Waveform 1	1	1252.058500000	1252.064300000	46093.000	60367.000	0.579	fp	20220826_070000.WAV
126	Spectrogram 1	1	1252.058500000	1252.064300000	46093.000	60367.000	0.579	fp	20220826_070000.WAV
