Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	detection_confidence	input_file
76	Spectrogram 1	1	137.916500000	137.925500000	46093.000	65945.000	Echolocation	0.614	20220826_070000.WAV
77	Waveform 1	1	138.014500000	138.020200000	46093.000	64635.000	Echolocation	0.624	20220826_070000.WAV
77	Spectrogram 1	1	138.014500000	138.020200000	46093.000	64635.000	Echolocation	0.624	20220826_070000.WAV
78	Waveform 1	1	138.102500000	138.108600000	46093.000	67648.000	Echolocation	0.621	20220826_070000.WAV
78	Spectrogram 1	1	138.102500000	138.108600000	46093.000	67648.000	Echolocation	0.621	20220826_070000.WAV
79	Waveform 1	1	138.196500000	138.201700000	46953.000	61525.000	Echolocation	0.601	20220826_070000.WAV
79	Spectrogram 1	1	138.196500000	138.201700000	46953.000	61525.000	Echolocation	0.601	20220826_070000.WAV
80	Waveform 1	1	138.370500000	138.376100000	46093.000	66055.000	Echolocation	0.717	20220826_070000.WAV
80	Spectrogram 1	1	138.370500000	138.376100000	46093.000	66055.000	Echolocation	0.717	20220826_070000.WAV
81	Waveform 1	1	138.465500000	138.471200000	46953.000	56701.000	Echolocation	0.653	20220826_070000.WAV
81	Spectrogram 1	1	138.465500000	138.471200000	46953.000	56701.000	Echolocation	0.653	20220826_070000.WAV
82	Waveform 1	1	138.559500000	138.563800000	48671.000	62167.000	Echolocation	0.661	20220826_070000.WAV
82	Spectrogram 1	1	138.559500000	138.563800000	48671.000	62167.000	Echolocation	0.661	20220826_070000.WAV
83	Waveform 1	1	138.833500000	138.839600000	49531.000	62239.000	Echolocation	0.582	20220826_070000.WAV
83	Spectrogram 1	1	138.833500000	138.839600000	49531.000	62239.000	Echolocation	0.582	20220826_070000.WAV
84	Waveform 1	1	139.010500000	139.015200000	47812.000	63386.000	Echolocation	0.681	20220826_070000.WAV
84	Spectrogram 1	1	139.010500000	139.015200000	47812.000	63386.000	Echolocation	0.681	20220826_070000.WAV
85	Waveform 1	1	139.176500000	139.181400000	46953.000	62333.000	Echolocation	0.583	20220826_070000.WAV
85	Spectrogram 1	1	139.176500000	139.181400000	46953.000	62333.000	Echolocation	0.583	20220826_070000.WAV
86	Waveform 1	1	139.298500000	139.303600000	46953.000	60059.000	Echolocation	0.512	20220826_070000.WAV
86	Spectrogram 1	1	139.298500000	139.303600000	46953.000	60059.000	Echolocation	0.512	20220826_070000.WAV
87	Waveform 1	1	139.453500000	139.458600000	45234.000	66567.000	Echolocation	0.616	20220826_070000.WAV
87	Spectrogram 1	1	139.453500000	139.458600000	45234.000	66567.000	Echolocation	0.616	20220826_070000.WAV
88	Waveform 1	1	139.559500000	139.564600000	46953.000	58185.000	Echolocation	0.537	20220826_070000.WAV
88	Spectrogram 1	1	139.559500000	139.564600000	46953.000	58185.000	Echolocation	0.537	20220826_070000.WAV
89	Waveform 1	1	291.199500000	291.205000000	46953.000	59271.000	fp	0.591	20220826_070000.WAV
89	Spectrogram 1	1	291.199500000	291.205000000	46953.000	59271.000	fp	0.591	20220826_070000.WAV
90	Waveform 1	1	291.384500000	291.391600000	45234.000	54441.000	Echolocation	0.534	20220826_070000.WAV
90	Spectrogram 1	1	291.384500000	291.391600000	45234.000	54441.000	Echolocation	0.534	20220826_070000.WAV
91	Waveform 1	1	291.576500000	291.581700000	45234.000	61589.000	Echolocation	0.693	20220826_070000.WAV
91	Spectrogram 1	1	291.576500000	291.581700000	45234.000	61589.000	Echolocation	0.693	20220826_070000.WAV
92	Waveform 1	1	291.645500000	291.653800000	46953.000	55700.000	fp	0.551	20220826_070000.WAV
92	Spectrogram 1	1	291.645500000	291.653800000	46953.000	55700.000	fp	0.551	20220826_070000.WAV
93	Waveform 1	1	291.708500000	291.715300000	46953.000	58397.000	Echolocation	0.555	20220826_070000.WAV
93	Spectrogram 1	1	291.708500000	291.715300000	46953.000	58397.000	Echolocation	0.555	20220826_070000.WAV
94	Waveform 1	1	291.779500000	291.785400000	47812.000	57803.000	Echolocation	0.595	20220826_070000.WAV
94	Spectrogram 1	1	291.779500000	291.785400000	47812.000	57803.000	Echolocation	0.595	20220826_070000.WAV
95	Waveform 1	1	291.864500000	291.870900000	45234.000	61585.000	Echolocation	0.598	20220826_070000.WAV
95	Spectrogram 1	1	291.864500000	291.870900000	45234.000	61585.000	Echolocation	0.598	20220826_070000.WAV
96	Waveform 1	1	484.738500000	484.746300000	46953.000	55251.000	fp	0.536	20220826_070000.WAV
96	Spectrogram 1	1	484.738500000	484.746300000	46953.000	55251.000	fp	0.536	20220826_070000.WAV
97	Waveform 1	1	485.509500000	485.515300000	48671.000	57920.000	fp	0.527	20220826_070000.WAV
97	Spectrogram 1	1	485.509500000	485.515300000	48671.000	57920.000	fp	0.527	20220826_070000.WAV
98	Waveform 1	1	546.920500000	546.927000000	43515.000	59808.000	Echolocation	0.521	20220826_070000.WAV
98	Spectrogram 1	1	546.920500000	546.927000000	43515.000	59808.000	Echolocation	0.521	20220826_070000.WAV
99	Waveform 1	1	547.138500000	547.145500000	43515.000	53917.000	Echolocation	0.586	20220826_070000.WAV
99	Spectrogram 1	1	547.138500000	547.145500000	43515.000	53917.000	Echolocation	0.586	20220826_070000.WAV
100	Waveform 1	1	547.242500000	547.251500000	42656.000	63551.000	Echolocation	0.594	20220826_070000.WAV
100	Spectrogram 1	1	547.242500000	547.251500000	42656.000	63551.000	Echolocation	0.594	20220826_070000.WAV
101	Waveform 1	1	547.348500000	547.355000000	43515.000	50600.000	Echolocation	0.519	20220826_070000.WAV
101	Spectrogram 1	1	547.348500000	547.355000000	43515.000	50600.000	Echolocation	0.519	20220826_070000.WAV
102	Waveform 1	1	547.451500000	547.459900000	42656.000	58428.000	Echolocation	0.508	20220826_070000.WAV
102	Spectrogram 1	1	547.451500000	547.459900000	42656.000	58428.000	Echolocation	0.508	20220826_070000.WAV
103	Waveform 1	1	547.551500000	547.558900000	43515.000	54107.000	Echolocation	0.606	20220826_070000.WAV
103	Spectrogram 1	1	547.551500000	547.558900000	43515.000	54107.000	Echolocation	0.606	20220826_070000.WAV
104	Waveform 1	1	547.752500000	547.759100000	41796.000	53575.000	Echolocation	0.611	20220826_070000.WAV
104	Spectrogram 1	1	547.752500000	547.759100000	41796.000	53575.000	Echolocation	0.611	20220826_070000.WAV
105	Waveform 1	1	547.971500000	547.978500000	42656.000	55521.000	Echolocation	0.564	20220826_070000.WAV
105	Spectrogram 1	1	547.971500000	547.978500000	42656.000	55521.000	Echolocation	0.564	20220826_070000.WAV
106	Waveform 1	1	548.167500000	548.175500000	40078.000	49704.000	Echolocation	0.535	20220826_070000.WAV
106	Spectrogram 1	1	548.167500000	548.175500000	40078.000	49704.000	Echolocation	0.535	20220826_070000.WAV
107	Waveform 1	1	548.488500000	548.497400000	41796.000	55548.000	Echolocation	0.514	20220826_070000.WAV
107	Spectrogram 1	1	548.488500000	548.497400000	41796.000	55548.000	Echolocation	0.514	20220826_070000.WAV
108	Waveform 1	1	548.884500000	548.892900000	41796.000	53771.000	Echolocation	0.542	20220826_070000.WAV
108	Spectrogram 1	1	548.884500000	548.892900000	41796.000	53771.000	Echolocation	0.542	20220826_070000.WAV
109	Waveform 1	1	549.191500000	549.199200000	42656.000	52470.000	Echolocation	0.542	20220826_070000.WAV
109	Spectrogram 1	1	549.191500000	549.199200000	42656.000	52470.000	Echolocation	0.542	20220826_070000.WAV
110	Waveform 1	1	549.431500000	549.439900000	43515.000	56268.000	Echolocation	0.551	20220826_070000.WAV
110	Spectrogram 1	1	549.431500000	549.439900000	43515.000	56268.000	Echolocation	0.551	20220826_070000.WAV
111	Waveform 1	1	549.526500000	549.534900000	42656.000	56306.000	Echolocation	0.518	20220826_070000.WAV
111	Spectrogram 1	1	549.526500000	549.534900000	42656.000	56306.000	Echolocation	0.518	20220826_070000.WAV
112	Waveform 1	1	549.632500000	549.640000000	41796.000	53068.000	Echolocation	0.513	20220826_070000.WAV
112	Spectrogram 1	1	549.632500000	549.640000000	41796.000	53068.000	Echolocation	0.513	20220826_070000.WAV
113	Waveform 1	1	549.731500000	549.738300000	41796.000	58180.000	Echolocation	0.51	20220826_070000.WAV
113	Spectrogram 1	1	549.731500000	549.738300000	41796.000	58180.000	Echolocation	0.51	20220826_070000.WAV
114	Waveform 1	1	549.819500000	549.829700000	42656.000	58152.000	Echolocation	0.556	20220826_070000.WAV
114	Spectrogram 1	1	549.819500000	549.829700000	42656.000	58152.000	Echolocation	0.556	20220826_070000.WAV
115	Waveform 1	1	549.895500000	549.901200000	42656.000	58070.000	Echolocation	0.523	20220826_070000.WAV
115	Spectrogram 1	1	549.895500000	549.901200000	42656.000	58070.000	Echolocation	0.523	20220826_070000.WAV
116	Waveform 1	1	549.957500000	549.963100000	41796.000	58092.000	Echolocation	0.535	20220826_070000.WAV
116	Spectrogram 1	1	549.957500000	549.963100000	41796.000	58092.000	Echolocation	0.535	20220826_070000.WAV
117	Waveform 1	1	550.005500000	550.010700000	44375.000	52299.000	Echolocation	0.609	20220826_070000.WAV
117	Spectrogram 1	1	550.005500000	550.010700000	44375.000	52299.000	Echolocation	0.609	20220826_070000.WAV
118	Waveform 1	1	550.317500000	550.326600000	43515.000	60248.000	Echolocation	0.578	20220826_070000.WAV
118	Spectrogram 1	1	550.317500000	550.326600000	43515.000	60248.000	Echolocation	0.578	20220826_070000.WAV
119	Waveform 1	1	550.402500000	550.410000000	42656.000	56116.000	Echolocation	0.588	20220826_070000.WAV
119	Spectrogram 1	1	550.402500000	550.410000000	42656.000	56116.000	Echolocation	0.588	20220826_070000.WAV
120	Waveform 1	1	550.494500000	550.503400000	40937.000	59871.000	Echolocation	0.582	20220826_070000.WAV
120	Spectrogram 1	1	550.494500000	550.503400000	40937.000	59871.000	Echolocation	0.582	20220826_070000.WAV
121	Waveform 1	1	550.584500000	550.594100000	40937.000	59103.000	Echolocation	0.58	20220826_070000.WAV
121	Spectrogram 1	1	550.584500000	550.594100000	40937.000	59103.000	Echolocation	0.58	20220826_070000.WAV
122	Waveform 1	1	550.678500000	550.686400000	41796.000	52054.000	Echolocation	0.561	20220826_070000.WAV
122	Spectrogram 1	1	550.678500000	550.686400000	41796.000	52054.000	Echolocation	0.561	20220826_070000.WAV
123	Waveform 1	1	550.778500000	550.787700000	41796.000	53771.000	Echolocation	0.583	20220826_070000.WAV
123	Spectrogram 1	1	550.778500000	550.787700000	41796.000	53771.000	Echolocation	0.583	20220826_070000.WAV
124	Waveform 1	1	550.988500000	550.995900000	41796.000	48947.000	Echolocation	0.537	20220826_070000.WAV
124	Spectrogram 1	1	550.988500000	550.995900000	41796.000	48947.000	Echolocation	0.537	20220826_070000.WAV
125	Waveform 1	1	551.388500000	551.394900000	42656.000	51352.000	Echolocation	0.587	20220826_070000.WAV
125	Spectrogram 1	1	551.388500000	551.394900000	42656.000	51352.000	Echolocation	0.587	20220826_070000.WAV
126	Waveform 1	1	582.949500000	582.955800000	45234.000	52415.000	Echolocation	0.574	20220826_070000.WAV
126	Spectrogram 1	1	582.949500000	582.955800000	45234.000	52415.000	Echolocation	0.574	20220826_070000.WAV
